#Event n.0
105844 1.97479
105845 3.94958
105851 5.92437
105852 3.94958
105856 3.94958
105858 1.97479
105864 2.86555
105866 1.97479
105867 1.97479
105868 2.86555
105869 2.86555
105881 5.92437
105882 5.92437
105884 3.94958
105885 3.94958
105886 3.94958
105887 5.92437
105907 2.86555
105908 2.86555
105909 2.86555
105910 2.86555
105911 2.86555
105912 2.86555
105913 2.86555
105923 2.86555
105924 2.86555
105925 2.86555
105926 2.86555
105927 2.86555
105928 5.91597
105929 5.91597
105930 2.86555
105931 2.86555
105932 2.86555
105933 2.86555
105934 2.86555
105936 2.86555
105937 2.86555
105938 1.97479
105939 2.86555
105940 3.94958
105941 3.94958
105942 3.94958
105949 4.84034
105950 1.97479
106036 2.86555
106038 5.91597
106039 2.86555
106040 2.86555
106041 2.86555
106099 5.91597
106100 5.91597
106102 3.05042
106103 3.05042
106104 5.91597
106105 5.91597
106114 3.05042
106115 2.86555
106117 5.91597
106118 2.86555
106119 2.86555
106122 5.91597
106123 3.05042
106124 5.91597
106147 3.05042
106174 5.91597
106179 3.05042
106184 5.91597
106186 3.05042
106187 5.91597
106188 5.91597
106189 5.91597
106190 3.05042
106226 1.97479
106347 5.92437
106376 5.92437
106393 3.94958
106416 3.94958
106418 1.97479
106470 5.92437
106485 1.97479
106492 5.92437
106493 5.92437
106523 1.97479
106524 3.94958
106525 3.94958
106527 1.97479
106592 2.86555
106595 1.97479
106596 5.91597
106605 5.91597
106612 5.91597
106621 1.97479
106623 3.94958
106646 3.94958
106681 1.97479
106682 1.97479
106685 1.97479
106687 5.92437
106691 1.97479
106692 3.94958
106699 1.97479
106899 5.92437
106902 1.97479
106903 5.92437
106904 1.97479
106956 1.97479
106958 1.97479
106979 9.87395
106980 1.97479
106981 1.97479
106982 3.94958
106983 3.94958
106985 1.97479
106986 3.94958
106987 5.92437
106988 3.94958
106990 1.97479
106991 5.92437
107102 3.94958
107106 3.94958
107107 5.92437
107108 5.92437
107109 3.94958
107113 1.97479
107114 3.94958
107115 1.97479
107117 2.86555
107121 1.97479
107382 3.94958
107383 2.86555
107384 2.86555
107387 1.97479
107388 3.94958
107389 3.94958
107393 3.94958
107394 5.91597
107395 2.86555
107404 2.86555
107427 2.86555
107428 2.86555
107459 3.94958
107460 2.86555
107463 3.94958
107466 5.91597
107467 2.86555
107471 2.86555
107500 5.92437
107501 1.97479
107505 3.94958
107506 5.92437
107507 2.86555
107508 3.94958
107509 3.94958
107513 1.97479
107518 3.94958
107519 1.97479
107628 1.97479
107677 3.94958
107686 5.92437
107752 5.92437
107875 5.92437
107876 1.97479
107882 3.94958
107902 3.94958
107905 7.89916
107962 3.94958
