#col	row	gain	offset
15	11	3101.08	0
15	12	2925.19	0
15	13	3301.45	0
15	14	3137.69	0
15	15	3182.03	0
15	16	2951.48	0
15	17	2977.08	0
15	18	3065.44	0
15	19	3168.75	0
15	20	3078.75	0
15	21	3051.45	0
15	22	2964.55	0
15	23	2994.19	0
15	24	2942.84	0
15	25	3033.56	0
15	26	2986.08	0
15	27	2965.38	0
15	28	2988.33	0
15	29	3017.87	0
15	30	2993.58	0
15	31	3124.47	0
16	0	3040.25	0
16	1	3039.66	0
16	2	3111.48	0
16	3	3009.36	0
16	4	2932.52	0
16	5	3029.29	0
16	6	2874.27	0
16	7	2967.24	0
16	8	3026.36	0
16	9	2948.71	0
16	10	2888.69	0
16	11	3057.95	0
16	12	3039.42	0
16	13	3076.58	0
16	14	3059.32	0
16	15	3087.57	0
16	16	2973.83	0
16	17	3044.88	0
16	18	2991.97	0
16	19	3092.08	0
16	20	3078.56	0
16	21	3020.15	0
16	22	2911.21	0
16	23	3104.85	0
16	24	3001.43	0
16	25	3082.83	0
16	26	3008.21	0
16	27	3108.72	0
16	28	2918.08	0
16	29	3080.19	0
16	30	3013.01	0
16	31	2971.05	0
17	0	3047.61	0
17	1	2985.74	0
17	2	3088.6	0
17	3	3115.45	0
17	4	3041.78	0
17	5	2915.31	0
17	6	3111.51	0
17	7	2946.53	0
17	8	3037.98	0
17	9	2973.38	0
17	10	3063.99	0
17	11	3023.86	0
17	12	3040.93	0
17	13	3051.45	0
17	14	3067.09	0
17	15	3062.63	0
17	16	3093.58	0
17	17	2924.49	0
17	18	3185.94	0
17	19	3003.72	0
17	20	3110.22	0
17	21	3023.2	0
17	22	3105.97	0
17	23	2946.89	0
17	24	3063.27	0
17	25	2973.99	0
17	26	3099.04	0
17	27	2988.71	0
17	28	3155.66	0
17	29	-1	-1
17	30	3126.95	0
17	31	2995.52	0
18	0	3021.46	0
18	1	2957.62	0
18	2	3015.29	0
18	3	3082.72	0
18	4	2877.45	0
18	5	3111.82	0
18	6	2844.04	0
18	7	2873.13	0
18	8	2947.65	0
18	9	3048.64	0
18	10	2959.92	0
18	11	3040.48	0
18	12	2957.31	0
18	13	3028.68	0
18	14	3047.36	0
18	15	3063.31	0
18	16	2902.03	0
18	17	3215.88	0
18	18	2929.82	0
18	19	3020.66	0
18	20	2996.85	0
18	21	3130.88	0
18	22	2986.54	0
18	23	2996.82	0
18	24	2893.52	0
18	25	3103.19	0
18	26	3047.98	0
